YR	MONTH	AK	AL	AR	AZ	CA	CO	CT	DC	DE	FL	GA	HI	IA	ID	IL	IN	KS	KY	LA	MA	MD	ME	MI	MN	MO	MS	MT	NC	ND	NE	NH	NJ	NM	NV	NY	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VA	VT	WA	WI	WV	WY
1975	JAN	34.37	35.7	36.74	28.94	15.72	19.6	24.37	18.26	27.26	31	30.72	26.82	33.08	32.1	25.67	32.58	33.51	31.48	33.01	15.9	26.75	27.92	24.49	25.43	30.62	42.38	26.92	28.37	40.08	31.2	22.13	22.94	27.84	27.71	23.81	30.36	38.1	19.7	28.76	20.13	31.46	37.72	32.18	32.6	24.7	27.91	26.64	17.48	28.1	41	31.67
1975	FEB	34.88	35.9	37.1	29.46	15.78	19.84	24.91	18.38	27.25	32.23	30.45	26.75	33.55	32.06	25.77	33.02	33.85	31.54	33.61	15.8	26.74	27.74	24.85	25.68	32.02	42.04	27.24	28.66	39.97	31.18	22.47	22.43	28.22	28.18	23.34	30.4	38.03	20.18	29.07	20.55	31.72	37.32	32.22	32.94	25.06	28.21	26.96	17.57	28.49	42.04	32.16
1975	MAR	35.4	36.13	37.42	29.96	15.96	20.07	25.31	18.51	27.27	34.03	30.34	26.73	33.97	32.03	25.97	33.44	34.23	31.59	34.22	15.7	26.74	27.6	25.14	25.89	33.45	41.78	27.57	28.9	39.92	31.16	22.77	22.12	28.59	28.63	23.12	30.56	37.99	20.64	29.32	20.97	31.88	36.91	32.3	33.54	25.38	28.42	27.26	17.69	28.86	43.12	32.68
1975	ARP	35.94	36.43	37.68	30.35	16.28	20.3	25.54	18.69	27.36	36.22	30.4	26.78	34.3	32	26.23	33.76	34.65	31.68	34.69	15.62	26.81	27.52	25.31	26.09	34.61	41.65	27.92	29.11	39.99	31.14	23.02	22.09	28.88	29.05	23.13	30.78	37.95	21.06	29.52	21.39	31.93	36.5	32.42	34.4	25.63	28.58	27.55	17.82	29.19	44.24	33.21
1975	MAY	36.54	36.7	37.92	30.55	16.53	20.5	25.61	18.94	27.56	36.44	30.51	26.9	34.49	32.01	26.4	33.93	35.06	31.91	34.91	15.58	26.94	27.54	25.35	26.34	34.58	41.66	28.24	29.29	40.19	31.12	23.19	22.25	29.09	29.42	23.26	31.03	37.89	21.47	29.77	21.79	31.93	36.12	32.56	34.65	25.78	28.72	27.79	17.93	29.44	45.36	33.71
1975	JUN	37.17	36.82	38.16	30.5	16.65	20.66	25.59	19.25	27.82	34.78	30.54	27.04	34.6	32.05	26.49	33.93	35.37	32.3	35.01	15.61	27.1	27.68	25.29	26.64	33.5	41.79	28.51	29.43	40.52	31.09	23.27	22.51	29.27	29.73	23.51	31.28	37.86	21.87	30.06	22.13	31.99	35.83	32.73	34.21	25.82	28.86	28.02	18.06	29.64	46.43	34.18
1975	JUL	37.8	36.75	38.35	30.17	16.77	20.77	25.56	19.59	28.05	33.56	30.44	27.16	34.72	32.09	26.62	33.78	35.56	32.76	35.14	15.68	27.31	27.93	25.25	26.98	32.52	41.88	28.74	29.55	40.97	31.07	23.27	22.79	29.43	29.99	23.78	31.49	37.89	22.23	30.25	22.37	32.12	35.64	32.91	33.93	25.75	29.05	28.2	18.2	29.81	47.37	34.61
1975	AUG	38.37	36.51	38.45	29.66	16.99	20.77	25.56	19.91	28.26	33	30.2	27.25	34.85	32.15	26.75	33.52	35.73	33.13	35.37	15.76	27.52	28.26	25.34	27.31	31.94	41.83	28.93	29.7	41.53	31.1	23.23	22.98	29.55	30.25	23.91	31.58	38.01	22.49	30.16	22.54	32.28	35.49	33.1	33.89	25.65	29.25	28.32	18.29	29.97	48.12	35
1975	SEP	38.87	36.26	38.43	29.13	17.23	20.69	25.6	20.19	28.44	32.87	29.86	27.3	34.92	32.23	26.86	33.27	35.84	33.34	35.6	15.82	27.67	28.6	25.4	27.54	31.63	41.73	29.08	29.86	42.16	31.22	23.22	23.02	29.6	30.52	23.91	31.63	38.21	22.66	29.71	22.65	32.39	35.37	33.33	33.98	25.63	29.3	28.38	18.3	30.17	48.62	35.32
1975	OCT	39.33	36.14	38.36	28.83	17.45	20.68	25.69	20.43	28.56	32.99	29.58	27.33	35	32.42	27.01	33.23	35.87	33.44	35.81	15.85	27.81	28.86	25.3	27.6	31.4	41.68	29.22	30.02	42.8	31.46	23.28	22.97	29.59	30.79	23.92	31.74	38.53	22.77	29.16	22.71	32.38	35.28	33.67	34.09	25.8	29.24	28.4	18.31	30.4	48.84	35.56
1975	NOV	39.74	36.25	38.38	28.94	17.6	20.81	25.87	20.57	28.63	33.23	29.49	27.33	35.12	32.76	27.25	33.47	35.96	33.43	36.04	15.87	28.06	28.99	25.18	27.52	31.31	41.77	29.38	30.16	43.4	31.77	23.41	22.89	29.58	31.07	23.95	31.92	38.94	22.83	29.3	22.71	32.27	35.26	34.12	34.3	26.18	29.15	28.4	18.45	30.55	48.85	35.72
1975	DEC	40.08	36.59	38.54	29.32	17.73	21.04	26.11	20.66	28.69	33.39	29.54	27.31	35.3	33.2	27.59	33.83	36.13	33.38	36.33	15.89	28.37	28.98	25.17	27.4	31.46	42.03	29.6	30.24	43.93	32.15	23.6	22.84	29.59	31.34	23.94	32	39.35	22.91	30.13	22.69	32.1	35.32	34.52	34.5	26.6	29.04	28.37	18.67	30.61	48.76	35.82
1976	JAN	40.36	37.14	38.78	29.7	17.91	21.26	26.32	20.78	28.72	33.38	29.63	27.29	35.62	33.62	27.96	34.16	36.35	33.35	36.65	15.9	28.62	28.89	25.21	27.3	31.89	42.36	29.89	30.22	44.41	32.61	23.86	22.89	29.64	31.58	23.83	31.99	39.67	23.03	30.86	22.68	31.92	35.49	34.7	34.62	26.97	28.97	28.33	18.89	30.63	48.64	35.91
1976	FEB	40.6	37.76	39.13	30	18.12	21.44	26.48	20.96	28.73	33.4	29.65	27.29	36.08	33.94	28.24	34.43	36.6	33.36	36.95	15.94	28.8	28.78	25.27	27.27	32.68	42.61	30.23	30.09	44.83	33.12	24.13	23.02	29.75	31.77	23.64	32.08	39.96	23.18	31.27	22.73	31.74	35.77	34.66	34.93	27.31	29.01	28.27	19.12	30.63	48.59	36.03
1976	MAR	40.81	38.28	39.57	30.17	18.38	21.62	26.57	21.17	28.74	33.94	29.61	27.29	36.63	34.13	28.48	34.66	36.86	33.4	37.27	16.01	28.94	28.68	25.4	27.33	33.89	42.63	30.61	29.99	45.18	33.59	24.34	23.19	29.91	31.89	23.46	32.36	40.26	23.41	31.45	22.88	31.63	36.12	34.56	35.66	27.61	29.2	28.24	19.33	30.66	48.63	36.21
1976	ARP	41	38.6	40.06	30.24	18.67	21.79	26.64	21.37	28.8	35.15	29.65	27.28	37.21	34.22	28.76	34.89	37.15	33.54	37.63	16.08	29.1	28.59	25.58	27.45	35.18	42.44	30.98	30.01	45.5	33.99	24.48	23.43	30.11	31.95	23.36	32.8	40.53	23.7	31.52	23.09	31.71	36.5	34.57	36.68	27.86	29.43	28.27	19.53	30.79	48.71	36.45
1976	MAY	41.19	38.74	40.47	30.24	18.9	21.92	26.73	21.59	28.9	35.47	29.84	27.27	37.76	34.31	29.16	35.19	37.43	33.76	37.95	16.1	29.28	28.45	25.69	27.57	35.35	42.13	31.3	30.1	45.85	34.24	24.56	23.73	30.35	31.99	23.39	33.24	40.8	24.06	31.65	23.33	32.02	36.87	34.65	36.98	28.05	29.67	28.38	19.75	31	48.76	36.78
