YR,MONTH,HPI,STATE
1975,JAN,34.37,AK
1975,FEB,34.88,AK
1975,MAR,35.4,AK
1975,ARP,35.94,AK
1975,MAY,36.54,AK
1975,JUN,37.17,AK
1975,JUL,37.8,AK
1975,AUG,38.37,AK
1975,SEP,38.87,AK
1975,OCT,39.33,AK
1975,NOV,39.74,AK
1975,DEC,40.08,AK
1976,JAN,40.36,AK
1976,FEB,40.6,AK
1976,MAR,40.81,AK
1976,ARP,41,AK
1976,MAY,41.19,AK
1976,JUN,41.36,AK
1976,JUL,41.52,AK
1976,AUG,41.66,AK
1976,SEP,41.85,AK
1976,OCT,42.12,AK
1976,NOV,42.49,AK
1976,DEC,42.92,AK
1977,JAN,43.37,AK
1977,FEB,43.77,AK
1977,MAR,44.1,AK
1977,ARP,44.35,AK
1977,MAY,44.56,AK
1977,JUN,44.76,AK
1977,JUL,44.98,AK
1977,AUG,45.19,AK
1977,SEP,45.41,AK
1977,OCT,45.63,AK
1977,NOV,45.9,AK
1977,DEC,46.23,AK
1978,JAN,46.61,AK
1978,FEB,47.07,AK
1978,MAR,47.63,AK
1978,ARP,48.27,AK
1978,MAY,48.92,AK
1978,JUN,49.49,AK
1978,JUL,49.9,AK
1978,AUG,50.15,AK
1978,SEP,50.33,AK
1978,OCT,50.59,AK
1978,NOV,50.99,AK
1978,DEC,51.54,AK
1979,JAN,52.21,AK
1979,FEB,53.01,AK
1979,MAR,53.97,AK
1979,ARP,55.02,AK
1979,MAY,55.93,AK
1979,JUN,56.44,AK
1979,JUL,56.52,AK
1979,AUG,56.33,AK
1979,SEP,56.03,AK
1979,OCT,55.78,AK
1979,NOV,55.63,AK
1979,DEC,55.59,AK
1980,JAN,55.6,AK
1980,FEB,55.56,AK
1980,MAR,55.43,AK
1980,ARP,55.24,AK
1980,MAY,55.04,AK
1980,JUN,54.9,AK
1980,JUL,54.9,AK
1980,AUG,55.05,AK
1980,SEP,55.41,AK
1980,OCT,55.95,AK
1980,NOV,56.65,AK
1980,DEC,57.49,AK
1981,JAN,58.44,AK
1981,FEB,59.47,AK
1981,MAR,60.55,AK
1981,ARP,61.68,AK
1981,MAY,62.84,AK
1981,JUN,64.02,AK
1981,JUL,65.24,AK
1981,AUG,66.49,AK
1981,SEP,67.76,AK
1981,OCT,69.02,AK
1981,NOV,70.23,AK
1981,DEC,71.36,AK
1982,JAN,72.37,AK
1982,FEB,73.27,AK
1982,MAR,74.07,AK
1982,ARP,74.8,AK
1982,MAY,75.46,AK
1982,JUN,76.03,AK
1982,JUL,76.45,AK
1982,AUG,76.74,AK
1982,SEP,76.94,AK
1982,OCT,77.18,AK
1982,NOV,77.54,AK
1982,DEC,78.05,AK
1983,JAN,78.7,AK
1983,FEB,79.47,AK
1983,MAR,80.35,AK
1983,ARP,81.29,AK
1983,MAY,82.28,AK
1983,JUN,83.23,AK
1983,JUL,84.02,AK
1983,AUG,84.61,AK
1983,SEP,85.03,AK
1983,OCT,85.29,AK
1983,NOV,85.39,AK
1983,DEC,85.34,AK
1984,JAN,85.17,AK
1984,FEB,84.94,AK
1984,MAR,84.76,AK
1984,ARP,84.84,AK
1984,MAY,85.22,AK
1984,JUN,85.67,AK
1984,JUL,85.99,AK
1984,AUG,86.21,AK
1984,SEP,86.3,AK
1984,OCT,86.09,AK
1984,NOV,85.48,AK
1984,DEC,84.61,AK
1985,JAN,83.76,AK
1985,FEB,83.19,AK
1985,MAR,83,AK
1985,ARP,83.15,AK
1985,MAY,83.45,AK
1985,JUN,83.51,AK
1985,JUL,83.03,AK
1985,AUG,82.12,AK
1985,SEP,81.18,AK
1985,OCT,80.51,AK
1985,NOV,80.19,AK
1985,DEC,80.07,AK
1986,JAN,80.06,AK
1986,FEB,80.13,AK
1986,MAR,80.26,AK
1986,ARP,80.44,AK
1986,MAY,80.58,AK
1986,JUN,80.42,AK
1986,JUL,79.75,AK
1986,AUG,78.8,AK
1986,SEP,77.88,AK
1986,OCT,77.13,AK
1986,NOV,76.58,AK
1986,DEC,75.96,AK
1987,JAN,75.07,AK
1987,FEB,73.9,AK
1987,MAR,72.46,AK
1987,ARP,70.82,AK
1987,MAY,69.09,AK
1987,JUN,67.43,AK
1987,JUL,65.96,AK
1987,AUG,64.63,AK
1987,SEP,63.4,AK
1987,OCT,62.34,AK
1987,NOV,61.69,AK
1987,DEC,61.72,AK
1988,JAN,62.54,AK
1988,FEB,63.93,AK
1988,MAR,65.28,AK
1988,ARP,66.06,AK
1988,MAY,66.57,AK
1988,JUN,67.38,AK
1988,JUL,68.54,AK
1988,AUG,69.92,AK
1988,SEP,71.51,AK
1988,OCT,73.16,AK
1988,NOV,74.25,AK
1988,DEC,74.15,AK
1989,JAN,72.52,AK
1989,FEB,69.43,AK
1989,MAR,65.61,AK
1989,ARP,62.21,AK
1989,MAY,60.03,AK
1989,JUN,58.93,AK
1989,JUL,58.29,AK
1989,AUG,57.78,AK
1989,SEP,57.31,AK
1989,OCT,56.83,AK
1989,NOV,56.36,AK
1989,DEC,56.04,AK
1990,JAN,56.07,AK
1990,FEB,56.68,AK
1990,MAR,58.07,AK
1990,ARP,60.37,AK
1990,MAY,63.37,AK
1990,JUN,66.39,AK
1990,JUL,68.63,AK
1990,AUG,69.67,AK
1990,SEP,69.76,AK
1990,OCT,69.41,AK
1990,NOV,68.97,AK
1990,DEC,68.7,AK
1991,JAN,68.79,AK
1991,FEB,69.16,AK
1991,MAR,69.68,AK
1991,ARP,70.39,AK
1991,MAY,71.28,AK
1991,JUN,72.2,AK
1991,JUL,72.98,AK
1991,AUG,73.39,AK
1991,SEP,73.38,AK
1991,OCT,73.12,AK
1991,NOV,72.89,AK
1991,DEC,72.9,AK
1992,JAN,73.2,AK
1992,FEB,73.73,AK
1992,MAR,74.36,AK
1992,ARP,74.89,AK
1992,MAY,75.2,AK
1992,JUN,75.38,AK
1992,JUL,75.53,AK
1992,AUG,75.57,AK
1992,SEP,75.46,AK
1992,OCT,75.29,AK
1992,NOV,75.18,AK
1992,DEC,75.14,AK
1993,JAN,75.2,AK
1993,FEB,75.32,AK
1993,MAR,75.49,AK
1993,ARP,75.8,AK
1993,MAY,76.29,AK
1993,JUN,76.96,AK
1993,JUL,77.69,AK
1993,AUG,78.28,AK
1993,SEP,78.61,AK
1993,OCT,78.71,AK
1993,NOV,78.68,AK
1993,DEC,78.68,AK
1994,JAN,78.89,AK
1994,FEB,79.45,AK
1994,MAR,80.24,AK
1994,ARP,81,AK
1994,MAY,81.61,AK
1994,JUN,82.13,AK
1994,JUL,82.5,AK
1994,AUG,82.44,AK
1994,SEP,82.11,AK
1994,OCT,81.83,AK
1994,NOV,81.83,AK
1994,DEC,82.12,AK
1995,JAN,82.59,AK
1995,FEB,83.09,AK
1995,MAR,83.56,AK
1995,ARP,84.05,AK
1995,MAY,84.47,AK
1995,JUN,84.8,AK
1995,JUL,85.03,AK
1995,AUG,85.09,AK
1995,SEP,85,AK
1995,OCT,84.86,AK
1995,NOV,84.8,AK
1995,DEC,84.9,AK
1996,JAN,85.15,AK
1996,FEB,85.55,AK
1996,MAR,86.12,AK
1996,ARP,86.77,AK
1996,MAY,87.41,AK
1996,JUN,87.93,AK
1996,JUL,88.24,AK
1996,AUG,88.28,AK
1996,SEP,88.17,AK
1996,OCT,88.1,AK
1996,NOV,88.14,AK
1996,DEC,88.27,AK
1997,JAN,88.53,AK
1997,FEB,88.96,AK
1997,MAR,89.47,AK
1997,ARP,89.97,AK
1997,MAY,90.34,AK
1997,JUN,90.51,AK
